Navn;Stasjon;Tid(norsk normaltid);Pent vær (døgn);Overskya vær (døgn);Gjennomsnittlig skydekke (døgn)
Trondheim - Voll;SN68860;15.08.2017;0;1;6,7
Trondheim - Voll;SN68860;16.08.2017;0;1;7
Trondheim - Voll;SN68860;17.08.2017;0;1;6,7
Trondheim - Voll;SN68860;18.08.2017;0;0;5,3
Trondheim - Voll;SN68860;19.08.2017;0;0;6
Trondheim - Voll;SN68860;20.08.2017;0;1;7,7
Trondheim - Voll;SN68860;21.08.2017;0;1;8
Trondheim - Voll;SN68860;22.08.2017;0;1;7,3
Trondheim - Voll;SN68860;26.08.2017;0;1;8
Trondheim - Voll;SN68860;27.08.2017;1;0;1,3
Trondheim - Voll;SN68860;28.08.2017;0;1;6,7
Trondheim - Voll;SN68860;29.08.2017;0;1;7,3
Trondheim - Voll;SN68860;30.08.2017;0;0;3,3
Trondheim - Voll;SN68860;31.08.2017;0;1;7
Trondheim - Voll;SN68860;01.09.2017;0;0;5,7
Trondheim - Voll;SN68860;02.09.2017;1;0;2,3
Trondheim - Voll;SN68860;03.09.2017;1;0;0
Trondheim - Voll;SN68860;04.09.2017;0;0;4,3
Trondheim - Voll;SN68860;05.09.2017;0;0;6,3
Trondheim - Voll;SN68860;06.09.2017;0;1;7,3
Trondheim - Voll;SN68860;07.09.2017;0;1;7,7
Trondheim - Voll;SN68860;08.09.2017;0;0;4,7
Trondheim - Voll;SN68860;09.09.2017;0;0;5
Trondheim - Voll;SN68860;10.09.2017;0;1;7,3
Trondheim - Voll;SN68860;11.09.2017;0;0;2,3
Trondheim - Voll;SN68860;12.09.2017;0;0;4,7
Trondheim - Voll;SN68860;13.09.2017;0;1;7,7
Trondheim - Voll;SN68860;14.09.2017;0;0;6,3
Trondheim - Voll;SN68860;15.09.2017;0;0;6
Trondheim - Voll;SN68860;16.09.2017;0;1;6,7
Trondheim - Voll;SN68860;17.09.2017;0;0;6
Trondheim - Voll;SN68860;18.09.2017;0;1;7,7
Trondheim - Voll;SN68860;19.09.2017;0;0;5
Trondheim - Voll;SN68860;20.09.2017;1;0;2
Trondheim - Voll;SN68860;21.09.2017;0;0;3
Trondheim - Voll;SN68860;22.09.2017;1;0;2
Trondheim - Voll;SN68860;23.09.2017;0;0;5
Trondheim - Voll;SN68860;24.09.2017;0;0;3
Trondheim - Voll;SN68860;25.09.2017;1;0;0
Trondheim - Voll;SN68860;26.09.2017;1;0;0
Trondheim - Voll;SN68860;27.09.2017;1;0;0,7
Trondheim - Voll;SN68860;28.09.2017;0;0;3,3
Trondheim - Voll;SN68860;29.09.2017;1;0;0,3
Trondheim - Voll;SN68860;30.09.2017;0;0;4,3
Trondheim - Voll;SN68860;01.10.2017;0;0;5,3
Trondheim - Voll;SN68860;02.10.2017;0;0;5,3
Trondheim - Voll;SN68860;03.10.2017;0;0;4,3
Trondheim - Voll;SN68860;04.10.2017;0;0;6
Trondheim - Voll;SN68860;05.10.2017;0;1;8
Trondheim - Voll;SN68860;06.10.2017;0;1;8
Trondheim - Voll;SN68860;07.10.2017;0;1;6,7
Trondheim - Voll;SN68860;08.10.2017;0;1;6,7
Trondheim - Voll;SN68860;09.10.2017;0;0;2,7
Trondheim - Voll;SN68860;10.10.2017;1;0;1,3
Trondheim - Voll;SN68860;11.10.2017;0;0;4,7
Trondheim - Voll;SN68860;12.10.2017;0;1;7,7
Trondheim - Voll;SN68860;13.10.2017;0;0;6,3
Trondheim - Voll;SN68860;14.10.2017;0;1;6,7
Trondheim - Voll;SN68860;15.10.2017;0;1;6,7
Trondheim - Voll;SN68860;16.10.2017;0;1;8
Trondheim - Voll;SN68860;17.10.2017;0;0;6
Trondheim - Voll;SN68860;18.10.2017;0;1;7
Trondheim - Voll;SN68860;19.10.2017;0;0;5,3
Trondheim - Voll;SN68860;20.10.2017;1;0;1,3
Trondheim - Voll;SN68860;21.10.2017;0;0;3,7
Trondheim - Voll;SN68860;22.10.2017;1;0;0,7
Trondheim - Voll;SN68860;23.10.2017;1;0;0
Trondheim - Voll;SN68860;24.10.2017;0;0;4
Trondheim - Voll;SN68860;25.10.2017;0;1;6,7
Trondheim - Voll;SN68860;26.10.2017;0;1;7,3
Trondheim - Voll;SN68860;27.10.2017;0;1;8
Trondheim - Voll;SN68860;29.10.2017;0;1;6,7
Trondheim - Voll;SN68860;30.10.2017;0;1;8
Trondheim - Voll;SN68860;31.10.2017;0;1;8
Trondheim - Voll;SN68860;01.11.2017;0;1;7
Trondheim - Voll;SN68860;02.11.2017;0;1;7,7
Trondheim - Voll;SN68860;03.11.2017;0;1;8
Trondheim - Voll;SN68860;04.11.2017;0;1;7
Trondheim - Voll;SN68860;05.11.2017;0;1;8
Trondheim - Voll;SN68860;06.11.2017;0;1;7,3
Trondheim - Voll;SN68860;07.11.2017;0;1;6,7
Trondheim - Voll;SN68860;08.11.2017;0;0;5,7
Trondheim - Voll;SN68860;09.11.2017;0;0;5,3
Trondheim - Voll;SN68860;10.11.2017;0;0;5,7
Trondheim - Voll;SN68860;11.11.2017;0;0;6
Trondheim - Voll;SN68860;12.11.2017;0;1;7,3
Trondheim - Voll;SN68860;13.11.2017;0;1;8
Trondheim - Voll;SN68860;14.11.2017;0;1;7,3
Trondheim - Voll;SN68860;15.11.2017;0;1;8
Trondheim - Voll;SN68860;16.11.2017;0;1;6,7
Trondheim - Voll;SN68860;17.11.2017;0;0;5,7
Trondheim - Voll;SN68860;18.11.2017;1;0;2,7
Trondheim - Voll;SN68860;19.11.2017;0;0;3,7
Trondheim - Voll;SN68860;20.11.2017;0;0;5,3
Trondheim - Voll;SN68860;21.11.2017;0;0;3,3
Trondheim - Voll;SN68860;22.11.2017;0;0;3,7
Trondheim - Voll;SN68860;23.11.2017;0;0;5,3
Trondheim - Voll;SN68860;24.11.2017;0;1;8
Trondheim - Voll;SN68860;25.11.2017;0;0;5,7
Trondheim - Voll;SN68860;26.11.2017;1;0;1,3
Trondheim - Voll;SN68860;27.11.2017;1;0;2,3
Trondheim - Voll;SN68860;28.11.2017;1;0;2,7
Trondheim - Voll;SN68860;29.11.2017;0;0;5,3
Trondheim - Voll;SN68860;30.11.2017;0;0;6,3
Trondheim - Voll;SN68860;01.12.2017;0;0;6,3
Trondheim - Voll;SN68860;02.12.2017;0;0;6,3
Trondheim - Voll;SN68860;03.12.2017;0;1;7
Trondheim - Voll;SN68860;04.12.2017;0;1;7,3
Trondheim - Voll;SN68860;05.12.2017;0;1;7
Trondheim - Voll;SN68860;06.12.2017;0;0;6
Trondheim - Voll;SN68860;07.12.2017;0;0;6
Trondheim - Voll;SN68860;08.12.2017;0;1;6,7
Trondheim - Voll;SN68860;09.12.2017;0;1;6,7
Trondheim - Voll;SN68860;10.12.2017;1;0;1,7
Trondheim - Voll;SN68860;11.12.2017;1;0;0,7
Trondheim - Voll;SN68860;12.12.2017;0;0;6
Trondheim - Voll;SN68860;13.12.2017;0;0;5,7
Trondheim - Voll;SN68860;14.12.2017;1;0;1,3
Trondheim - Voll;SN68860;15.12.2017;0;0;4
Trondheim - Voll;SN68860;16.12.2017;0;1;8
Trondheim - Voll;SN68860;17.12.2017;0;0;5,3
Trondheim - Voll;SN68860;18.12.2017;0;0;6,3
Trondheim - Voll;SN68860;19.12.2017;0;1;7,3
Trondheim - Voll;SN68860;20.12.2017;0;0;5,7
Trondheim - Voll;SN68860;21.12.2017;0;1;7
Trondheim - Voll;SN68860;22.12.2017;0;1;7,3
Trondheim - Voll;SN68860;23.12.2017;0;1;8
Trondheim - Voll;SN68860;24.12.2017;0;1;7
Trondheim - Voll;SN68860;25.12.2017;0;1;7,7
Trondheim - Voll;SN68860;26.12.2017;0;1;7
Trondheim - Voll;SN68860;27.12.2017;0;0;6,3
Trondheim - Voll;SN68860;28.12.2017;0;1;7,3
Trondheim - Voll;SN68860;30.12.2017;0;0;3
Trondheim - Voll;SN68860;31.12.2017;0;0;2,7
Trondheim - Voll;SN68860;01.01.2018;0;0;4
Trondheim - Voll;SN68860;02.01.2018;0;0;6,3
Trondheim - Voll;SN68860;03.01.2018;0;0;4,3
Trondheim - Voll;SN68860;04.01.2018;0;0;6,3
Trondheim - Voll;SN68860;05.01.2018;0;0;5,7
Trondheim - Voll;SN68860;06.01.2018;0;0;5,7
Trondheim - Voll;SN68860;07.01.2018;0;1;8
Trondheim - Voll;SN68860;08.01.2018;0;0;5,3
Trondheim - Voll;SN68860;09.01.2018;1;0;1,7
Trondheim - Voll;SN68860;10.01.2018;0;0;2
Trondheim - Voll;SN68860;11.01.2018;0;0;5,7
Trondheim - Voll;SN68860;12.01.2018;0;0;4
Trondheim - Voll;SN68860;13.01.2018;1;0;2,3
Trondheim - Voll;SN68860;14.01.2018;1;0;1,7
Trondheim - Voll;SN68860;15.01.2018;0;1;7
Trondheim - Voll;SN68860;16.01.2018;0;0;5,7
Trondheim - Voll;SN68860;17.01.2018;0;0;5,7
Trondheim - Voll;SN68860;18.01.2018;0;0;3
Trondheim - Voll;SN68860;19.01.2018;1;0;0,7
Trondheim - Voll;SN68860;20.01.2018;1;0;1
Trondheim - Voll;SN68860;21.01.2018;0;0;4,7
Trondheim - Voll;SN68860;22.01.2018;0;0;2,3
Trondheim - Voll;SN68860;23.01.2018;0;0;5,7
Trondheim - Voll;SN68860;24.01.2018;0;1;7,3
Trondheim - Voll;SN68860;25.01.2018;0;1;7
Trondheim - Voll;SN68860;26.01.2018;0;0;6
Trondheim - Voll;SN68860;27.01.2018;0;0;4,3
Trondheim - Voll;SN68860;28.01.2018;0;0;4,3
Trondheim - Voll;SN68860;29.01.2018;0;1;6,7
Trondheim - Voll;SN68860;30.01.2018;0;1;6,7
Trondheim - Voll;SN68860;31.01.2018;0;0;5,7
Trondheim - Voll;SN68860;01.02.2018;0;0;5
Trondheim - Voll;SN68860;02.02.2018;1;0;3
Trondheim - Voll;SN68860;03.02.2018;1;0;0,3
Trondheim - Voll;SN68860;04.02.2018;0;0;5
Trondheim - Voll;SN68860;05.02.2018;0;1;7
Trondheim - Voll;SN68860;06.02.2018;0;0;6,3
Trondheim - Voll;SN68860;07.02.2018;0;1;7,3
Trondheim - Voll;SN68860;08.02.2018;0;0;6
Trondheim - Voll;SN68860;09.02.2018;0;0;6,3
Trondheim - Voll;SN68860;10.02.2018;0;0;3,7
Trondheim - Voll;SN68860;11.02.2018;0;0;3,7
Trondheim - Voll;SN68860;12.02.2018;0;0;6,3
Trondheim - Voll;SN68860;13.02.2018;0;0;2,7
Trondheim - Voll;SN68860;14.02.2018;0;0;5
Trondheim - Voll;SN68860;15.02.2018;0;0;5,7
Trondheim - Voll;SN68860;16.02.2018;1;0;2
Trondheim - Voll;SN68860;17.02.2018;0;0;3,7
Trondheim - Voll;SN68860;18.02.2018;0;0;2,7
Trondheim - Voll;SN68860;19.02.2018;1;0;1,3
Trondheim - Voll;SN68860;20.02.2018;0;0;3,7
Trondheim - Voll;SN68860;21.02.2018;0;1;7,3
Trondheim - Voll;SN68860;22.02.2018;0;0;6
Trondheim - Voll;SN68860;23.02.2018;0;1;6,7
Trondheim - Voll;SN68860;24.02.2018;0;1;7
Trondheim - Voll;SN68860;25.02.2018;0;0;5,3
Trondheim - Voll;SN68860;26.02.2018;1;0;0,7
Trondheim - Voll;SN68860;27.02.2018;1;0;0,3
Trondheim - Voll;SN68860;28.02.2018;1;0;0
Trondheim - Voll;SN68860;01.03.2018;1;0;0
Trondheim - Voll;SN68860;02.03.2018;1;0;1
Trondheim - Voll;SN68860;03.03.2018;0;1;7,7
Trondheim - Voll;SN68860;04.03.2018;0;1;8
Trondheim - Voll;SN68860;05.03.2018;0;0;5,3
Trondheim - Voll;SN68860;06.03.2018;0;0;3,3
Trondheim - Voll;SN68860;07.03.2018;1;0;2
Trondheim - Voll;SN68860;08.03.2018;0;0;6,3
Trondheim - Voll;SN68860;09.03.2018;0;1;7,7
Trondheim - Voll;SN68860;10.03.2018;0;1;8
Trondheim - Voll;SN68860;11.03.2018;0;0;4,3
Trondheim - Voll;SN68860;12.03.2018;0;1;8
Trondheim - Voll;SN68860;13.03.2018;0;0;4
Trondheim - Voll;SN68860;14.03.2018;1;0;3
Trondheim - Voll;SN68860;15.03.2018;1;0;0,7
Trondheim - Voll;SN68860;16.03.2018;1;0;1
Trondheim - Voll;SN68860;17.03.2018;0;0;6
Trondheim - Voll;SN68860;18.03.2018;0;1;8
Trondheim - Voll;SN68860;19.03.2018;0;1;8
Trondheim - Voll;SN68860;20.03.2018;0;1;7,7
Trondheim - Voll;SN68860;21.03.2018;0;1;7,3
Trondheim - Voll;SN68860;22.03.2018;0;1;7,3
Trondheim - Voll;SN68860;23.03.2018;0;1;7,7
Trondheim - Voll;SN68860;24.03.2018;0;1;7,7
Trondheim - Voll;SN68860;25.03.2018;0;1;7,7
Trondheim - Voll;SN68860;26.03.2018;1;0;0
Trondheim - Voll;SN68860;27.03.2018;1;0;0
Trondheim - Voll;SN68860;28.03.2018;1;0;0
Trondheim - Voll;SN68860;29.03.2018;1;0;0
Trondheim - Voll;SN68860;30.03.2018;1;0;0
Trondheim - Voll;SN68860;31.03.2018;1;0;0
Trondheim - Voll;SN68860;01.04.2018;0;0;4
Trondheim - Voll;SN68860;02.04.2018;0;0;3,7
Trondheim - Voll;SN68860;03.04.2018;0;0;2,7
Trondheim - Voll;SN68860;04.04.2018;0;0;5
Trondheim - Voll;SN68860;05.04.2018;0;1;8
Trondheim - Voll;SN68860;06.04.2018;0;0;6
Trondheim - Voll;SN68860;07.04.2018;0;1;7,7
Trondheim - Voll;SN68860;08.04.2018;0;1;7,3
Trondheim - Voll;SN68860;09.04.2018;0;0;4,3
Trondheim - Voll;SN68860;10.04.2018;1;0;0,3
Trondheim - Voll;SN68860;11.04.2018;1;0;0,3
Trondheim - Voll;SN68860;12.04.2018;1;0;1
Trondheim - Voll;SN68860;13.04.2018;0;0;2,3
Trondheim - Voll;SN68860;14.04.2018;1;0;0
Trondheim - Voll;SN68860;15.04.2018;1;0;0
Trondheim - Voll;SN68860;16.04.2018;1;0;1
Trondheim - Voll;SN68860;17.04.2018;1;0;1,3
Trondheim - Voll;SN68860;18.04.2018;0;1;7,7
Trondheim - Voll;SN68860;19.04.2018;0;1;6,7
Trondheim - Voll;SN68860;20.04.2018;0;1;7,7
Trondheim - Voll;SN68860;21.04.2018;0;1;7,3
Trondheim - Voll;SN68860;22.04.2018;0;0;5
Trondheim - Voll;SN68860;23.04.2018;0;1;8
Trondheim - Voll;SN68860;24.04.2018;0;1;7,7
Trondheim - Voll;SN68860;25.04.2018;0;0;5
Trondheim - Voll;SN68860;26.04.2018;0;1;6,7
Trondheim - Voll;SN68860;27.04.2018;0;0;5,7
Trondheim - Voll;SN68860;28.04.2018;0;0;6,3
Trondheim - Voll;SN68860;29.04.2018;0;0;5,7
Trondheim - Voll;SN68860;30.04.2018;1;0;2,3
Trondheim - Voll;SN68860;01.05.2018;0;0;5
Trondheim - Voll;SN68860;02.05.2018;0;0;4
Trondheim - Voll;SN68860;03.05.2018;0;0;4
Trondheim - Voll;SN68860;04.05.2018;0;0;6,3
Trondheim - Voll;SN68860;05.05.2018;0;0;6
Trondheim - Voll;SN68860;06.05.2018;0;1;7
Trondheim - Voll;SN68860;07.05.2018;0;0;6
Trondheim - Voll;SN68860;08.05.2018;0;0;5
Trondheim - Voll;SN68860;09.05.2018;1;0;0,3
Trondheim - Voll;SN68860;10.05.2018;0;0;3
Trondheim - Voll;SN68860;11.05.2018;0;1;7,7
Trondheim - Voll;SN68860;12.05.2018;1;0;0
Trondheim - Voll;SN68860;13.05.2018;1;0;1,7
Trondheim - Voll;SN68860;14.05.2018;1;0;2,3
Trondheim - Voll;SN68860;15.05.2018;1;0;1,7
Trondheim - Voll;SN68860;16.05.2018;0;0;4,7
Trondheim - Voll;SN68860;17.05.2018;1;0;2,3
Trondheim - Voll;SN68860;18.05.2018;0;0;5
Trondheim - Voll;SN68860;19.05.2018;0;0;4
Trondheim - Voll;SN68860;20.05.2018;0;1;7
Trondheim - Voll;SN68860;21.05.2018;0;0;3,3
Trondheim - Voll;SN68860;22.05.2018;0;0;5,3
Trondheim - Voll;SN68860;23.05.2018;1;0;0,7
Trondheim - Voll;SN68860;24.05.2018;1;0;2,7
Trondheim - Voll;SN68860;25.05.2018;1;0;0,3
Trondheim - Voll;SN68860;26.05.2018;0;0;4,7
Trondheim - Voll;SN68860;27.05.2018;1;0;0,7
Trondheim - Voll;SN68860;28.05.2018;0;1;7
Trondheim - Voll;SN68860;29.05.2018;1;0;0,7
Trondheim - Voll;SN68860;30.05.2018;1;0;0
Trondheim - Voll;SN68860;31.05.2018;1;0;2,7
Trondheim - Voll;SN68860;01.06.2018;0;0;4
Trondheim - Voll;SN68860;02.06.2018;1;0;0
Trondheim - Voll;SN68860;03.06.2018;0;1;6,7
Trondheim - Voll;SN68860;04.06.2018;0;0;6,3
Trondheim - Voll;SN68860;05.06.2018;0;0;6,3
Trondheim - Voll;SN68860;06.06.2018;0;0;5,3
Trondheim - Voll;SN68860;07.06.2018;0;1;8
Trondheim - Voll;SN68860;08.06.2018;0;1;7,3
Trondheim - Voll;SN68860;09.06.2018;0;0;3,7
Trondheim - Voll;SN68860;10.06.2018;0;0;5,3
Trondheim - Voll;SN68860;11.06.2018;0;1;7
Trondheim - Voll;SN68860;12.06.2018;0;1;6,7
Trondheim - Voll;SN68860;13.06.2018;0;0;5,3
Trondheim - Voll;SN68860;14.06.2018;0;1;8
Trondheim - Voll;SN68860;15.06.2018;0;1;6,7
Trondheim - Voll;SN68860;16.06.2018;0;0;5,3
Trondheim - Voll;SN68860;17.06.2018;0;0;6
Trondheim - Voll;SN68860;18.06.2018;0;0;6
Trondheim - Voll;SN68860;19.06.2018;0;1;8
Trondheim - Voll;SN68860;20.06.2018;0;1;8
Trondheim - Voll;SN68860;21.06.2018;0;1;8
Trondheim - Voll;SN68860;22.06.2018;0;1;8
Trondheim - Voll;SN68860;23.06.2018;0;1;7,3
Trondheim - Voll;SN68860;24.06.2018;0;1;7,3
Trondheim - Voll;SN68860;25.06.2018;0;1;7,7
Trondheim - Voll;SN68860;26.06.2018;0;1;7
Trondheim - Voll;SN68860;27.06.2018;0;0;4
Trondheim - Voll;SN68860;28.06.2018;0;0;4,3
Trondheim - Voll;SN68860;29.06.2018;0;1;8
Data er gyldig per 16.11.2022 (CC BY 4.0), Meteorologisk institutt (MET);;;;;
